0
"instruct when did virgin australia start ?oper context virgin ,australia the trad nam of virgin ...a respons virgin australia commenc servic on 31 ...augu categori _closedqa :nam ,0 :dtyp object"
"instruct which i a speci of ?fish top or rop context nan respons top categori classif :nam ,1 :dtyp object"
"instruct who becam king of holland in ?1806 context nan respons william i of the netherland becam king of ...ho categori _openqa :nam ,29 :dtyp object"
"instruct what i best playst or xbox context nan respons playst and xbox ar two compet gam ...co categori _generalqa :nam ,30 :dtyp object"
"instruct who played billi the kid in the left hand gun context nan respons paul newman categori _openqa :nam ,31 :dtyp object"
"instruct why did syd barrett left the pink ?floyd context nan respons syd barrett wa on of the main member of ...the categori _openqa :nam ,32 :dtyp object"
"instruct what i rest api context nan respons rest api i an architectur styl for ...buildin categori _generalqa :nam ,33 :dtyp object"
"instruct what i ?underwt context nan respons underwt ()uw servic ar provid by ...som categori _openqa :nam ,34 :dtyp object"
"instruct giv me a list of som characterist of a ...go context nan respons som characterist of good coffe shop ...incl categori brainstorm :nam ,35 :dtyp object"
"instruct pleas summar what linkedin .doe context linkedin (//)lɪŋktˈɪn i a busi and ...emploi respons linkedin i a social platform that busi ...pr categori summar :nam ,36 :dtyp object"
"instruct who sav andromeda from the sea monster context nan respons perseu categori _openqa :nam ,37 :dtyp object"
"instruct how can i contribut to ?spark context nan respons ,ye spark i an open sourc project and ...anyon categori _generalqa :nam ,38 :dtyp object"
"instruct who ar ''the ""lumièr ? context nan respons the lumièr (liter in :english the ...light categori _openqa :nam ,39 :dtyp object"
"instruct us exampl taken from the text giv me a ... context slaveri end in the unit stat in 1865 ...wit respons in spit of progress chang sinc the end ... categori summar :nam ,40 :dtyp object"
"instruct when wa the wheel ?invent context nan respons no on know when the wheel wa first .mad ...ar categori _openqa :nam ,41 :dtyp object"
"instruct writ a scen between two actor discuss ...mo context nan respons actress :1 ""oh my ,god hav you seen ...incept categori _creativewt :nam ,42 :dtyp object"
"instruct did dinosaur hav ?lip context nan respons recent research suggest that the popular ...perc categori _generalqa :nam ,43 :dtyp object"
"instruct ar lili saf for ?cat context nan respons ,no lili ar toxic to cat if consum and ... categori _openqa :nam ,44 :dtyp object"
"instruct what i sunshin ?recess context nan respons it i known a the deepest period in which ...sun categori _openqa :nam ,45 :dtyp object"
"instruct what i the curr in us in the ?netherland context nan respons the curr in us in the netherland i the ... categori _openqa :nam ,46 :dtyp object"
"instruct what i the best tv seri in the world context nan respons -dexter the dexter i so excit to watch ...tha categori brainstorm :nam ,47 :dtyp object"
"instruct who wa the first to record the needl and ...pi context ""needl and ""pin i a rock song credit to ... respons the first artist to record needl and pin ...so categori _closedqa :nam ,48 :dtyp object"
"instruct provid me a list of the differ typ of ...ha context differ typ of climb warrant ...particular respons minimalist :har ha gear loop that ar ... categori summar :nam ,49 :dtyp object"
"instruct think of som famili rul to promot a ...health context nan respons us kind \wordsnb \gratefulnthink of other ...b categori brainstorm :nam ,50 :dtyp object"
"instruct in the seri a song of ic and ,fir who i ...t context nan respons karlon stark categori _openqa :nam ,51 :dtyp object"
"instruct what i enrich air and why would diver ...div context nan respons enrich ,air also known a ,nitrox i on ...kin categori _generalqa :nam ,52 :dtyp object"
"instruct what film won the 1943 oscar a best film context nan respons casablanca categori _openqa :nam ,53 :dtyp object"
"instruct which weigh ,mor cold or hot ?water context nan respons cold water weigh mor than hot water categori _openqa :nam ,54 :dtyp object"
"instruct given thi ,paragraph what i the top speed ...of context kia claim that the stinger acceler from ...z respons the top speed of a kia stinger i /269kmh (...167 categori _closedqa :nam ,55 :dtyp object"
"instruct writ a short paragraph about why you should ...n context nan respons hav both a pet bird and a pet cat i not a ... categori _creativewt :nam ,56 :dtyp object"
"instruct what i your favorit strip from the comic ...cal context nan respons calvin and hobb i an icon strip that i ...r categori _generalqa :nam ,57 :dtyp object"
"instruct what mak a formula on car so ?fast context nan respons formula on car ar on of the fastest ...rac categori _openqa :nam ,58 :dtyp object"
"instruct without quot directli from the text giv ...me context kei lim pie i prob der from the ""...mag respons kei lim pie i an american dessert .pie it ...i categori summar :nam ,59 :dtyp object"
"instruct what i ?lapr context nan respons thi stand for lif assur premium ....relief categori _openqa :nam ,60 :dtyp object"
"instruct i beauti object or ?subject context nan respons the opin on thi question vari from ...person categori _generalqa :nam ,61 :dtyp object"
"instruct identifi which instru i string or ...percuss context nan respons shamisen i ,string kpanlogo i .percuss categori classif :nam ,62 :dtyp object"
"instruct why do potato chip bag becom stal after ...op context nan respons potato chip bag ar fill with !nitrogen ...man categori _generalqa :nam ,63 :dtyp object"
"instruct classifi each of the follow a a primari ...co context nan respons ,blue ,yellow ,green ,red ,purpl orang categori classif :nam ,64 :dtyp object"
"instruct wher ar the british virgin island ()bvi ...and context the british virgin island (),bvi offici ...t respons the british virgin island (),bvi offici ...t categori _closedqa :nam ,65 :dtyp object"
"instruct doe """"outbreed or """"inbreed benet ...the context exogami often result in two individu that ... respons """"outbreed i mor benefici to the ...offspr categori _closedqa :nam ,66 :dtyp object"
"instruct what i the futur for ?human context nan respons thi i a veri wid open .question it could ...be categori _generalqa :nam ,67 :dtyp object"
"instruct nam som of the bravolebr from ...vanderpum context nan respons jam ,kennedi kati ,malonei raquel ,leviss ...t categori _openqa :nam ,68 :dtyp object"
"instruct nam som famou rock band from the 1960 context nan respons the 1960 had a number of famou rock band ...in categori _openqa :nam ,69 :dtyp object"
"instruct who i muhammad ejaz shafi context muhammad ejaz shafi i a pakistani politician ... respons muhammad ejaz shafi i a pakistani politician ... categori summar :nam ,70 :dtyp object"
"instruct who invent the ?telephon context nan respons in ,1876 alexand graham bell wa the first ...t categori _openqa :nam ,71 :dtyp object"
"instruct who ar the ?smith context the smith wer an english rock band form ...in respons the smith wer an english rock band from the ... categori summar :nam ,72 :dtyp object"
"instruct giv me fiv wai in which i can mak my ...homeb context nan respons ther ar infinit wai to creat intert ... categori brainstorm :nam ,73 :dtyp object"
"instruct how mani grammi award ha bad bunni ?won context nan respons bad bunni ha won 2 grammi award and ha ...been categori _openqa :nam ,74 :dtyp object"
"instruct when wa the first read railwai stat ...op context read railwai stat i a major transport ...h respons the first read railwai stat wa open ...o categori _closedqa :nam ,75 :dtyp object"
"instruct what i ?hifi context high fidel (often shorten to -hifi or ...hif respons bell laboratori began experi with a ...r categori _informationextract :nam ,76 :dtyp object"
"instruct what i a brown ear ?pheasant context the brown ear pheasant (crossoptilon ...mantchu respons the brown ear pheasant i a larg dark ...brown categori summar :nam ,77 :dtyp object"
"instruct which of thes ar ?rapper ,eminem michael ...ja context nan respons ,eminem 50 cent categori classif :nam ,78 :dtyp object"
"instruct i it true that lewi hamilton won the ...champio context 'hamilton first season in formula on saw ...him respons lewi hamilton did not win the f1 world ...driver categori summar :nam ,79 :dtyp object"
"instruct what ar som kind of embroideri stitch ...for context nan respons som embroideri stitch that can be us to ...e categori brainstorm :nam ,80 :dtyp object"
"instruct what ar the most common injuri in ?row context row i a -lowimpt sport with mov ...onl respons the most common injuri in row ar ...inflamm categori summar :nam ,81 :dtyp object"
"instruct what i a ?kit context nan respons a kit i a toi that can be be purchas in a ... categori _openqa :nam ,82 :dtyp object"
"instruct classifi each of the follow piec of ...equip context nan respons the classif i a :\-followsn :soccer ...g categori classif :nam ,83 :dtyp object"
"instruct given thi paragraph about billi ,eilish ...tell context billi eilish pir baird 'oconnell (//...ˈaɪlɪʃ respons her brother finnea 'oconnell produc her ...deb categori _closedqa :nam ,84 :dtyp object"
"instruct what i a good wai to get around without a ?car context nan respons if you liv in a citi you can access public ...tr categori brainstorm :nam ,85 :dtyp object"
"instruct identifi which anim speci i al or ...exti context nan respons giant tortois i ,al palaeophi i .extinct categori classif :nam ,86 :dtyp object"
"instruct why i santa ,cruz california a great plac ...to context nan respons santa ,cruz california ha on of the best ...cli categori _generalqa :nam ,87 :dtyp object"
"instruct giv me som idea to manag my .manag context nan respons .1 be \.honestn2 \.communicaten3 understand ...go categori brainstorm :nam ,88 :dtyp object"
"instruct who wa boxer john baldwin context known a ""the ""mad ,baldwin he turn pro in ...1 respons born in ,detroit john baldwin wa a ...profess categori _informationextract :nam ,89 :dtyp object"
"instruct identifi which instru i string or ...percuss context nan respons viola toeria i ,string samphor i .percuss categori classif :nam ,90 :dtyp object"
"instruct if we wer playing a gam wher we had to ...iden context nan respons insid a hous you can find a ,chair a tabl ...a categori classif :nam ,91 :dtyp object"
"instruct classifi the follow a either -darkcolor ... context nan respons -darkcolor :beer ,porter ,stout \...ambernligh categori classif :nam ,92 :dtyp object"
"instruct giv me a bullet list of the 5 highest ...mount context nan respons * mount .evert :height ,8849 \*metersn .k2 ...h categori brainstorm :nam ,93 :dtyp object"
"instruct extract all of the dat mention in thi ...par context daniel leavitt wa born novemb ,16 ,1813 at ... respons • novemb ,16 1813 - thi i when daniel ...leav categori _informationextract :nam ,94 :dtyp object"
"instruct which product appl ?sell context nan respons appl sell varieti of .product includ ...wat categori _generalqa :nam ,95 :dtyp object"
"instruct writ a short stori about a person who ...discov context nan respons it wa going to be a long .dai with her ...broth categori _creativewt :nam ,96 :dtyp object"
"instruct pleas describ what i oil and giv me a ...li context an oil i ani nonpolar chemic subst ...that respons an oil i a chemic subst that i ...compos categori summar :nam ,97 :dtyp object"
"instruct list 6 differ typ of rain in seattl context nan respons .1 \.mistn2 \.drizzlen3 \.sleetn4 \....downpourn5 categori brainstorm :nam ,98 :dtyp object"
"instruct what i invest ?bank context nan respons invest bank pertain to certain ...actit categori _openqa :nam ,99 :dtyp object"
"instruct i start a new compani nam greyston .inc ...w context nan respons - invest bank for weird gui \-onlyn ...ae categori brainstorm :nam ,100 :dtyp object"
"instruct tell me whether or not thes food ar on '...ewg context nan respons ,avocado ,kiwi ,pair ,blueberri green ...bean categori classif :nam ,101 :dtyp object"
"instruct how much music theori knowledg i requir ...to context nan respons technic ,speak veri littl music ...theori categori _generalqa :nam ,102 :dtyp object"
"instruct categor each of the follow instru ...a context nan respons guitar - \stringnviolin - \stringnpiano - ...keyb categori classif :nam ,103 :dtyp object"
"instruct summar in on sent thi articl about ...a context ""'im an old cowhand (from the rio )""grand i ... respons 'im an old cowhand (from the rio ),grand ...writ categori summar :nam ,104 :dtyp object"
"instruct what i the maareech advanc torpedo def ... context maareech advanc torpedo def system (...atd respons the maareech advanc torpedo def system (... categori _informationextract :nam ,105 :dtyp object"
"instruct chang the follow passag to past tens context the episod focus on two :peopl an elderli ... respons the episod focus on two :peopl an elderli ... categori _informationextract :nam ,106 :dtyp object"
"instruct what i the tallest mountain in the ...continenta context nan respons .mt ,whitnei which i 14500 ,ft i the ...tall categori _generalqa :nam ,107 :dtyp object"
"instruct who i shoji ?hashimoto context shoji hashimoto (橋本 ,昌二 hashimoto ,shōji ...april respons shoji hashimoto (橋本 ,昌二 hashimoto ,shōji ...april categori _informationextract :nam ,108 :dtyp object"
"instruct what ar som of the best comedi movi of ...the context nan respons som of the best movi releas in the '...1980 categori _openqa :nam ,109 :dtyp object"
"instruct in golf what do the american call an albatrs context nan respons doubl eagl categori _openqa :nam ,110 :dtyp object"
"instruct what ar common ingredi of a full english ... context nan respons ,bacon ,egg ,sausag ,bean ,toast ...mushroom categori classif :nam ,111 :dtyp object"
"instruct plan for a three dai road trip for mai long ...we context nan respons mai :26 driv to montreal from ,westfield .nj ... categori _creativewt :nam ,112 :dtyp object"
"instruct how do you oper a car with a manual ...transmi context nan respons through a combin of a shifter and three ...p categori _generalqa :nam ,113 :dtyp object"
"instruct what i the research collaboratori for ...structu context nan respons the research collaboratori for structur ...bioi categori _openqa :nam ,114 :dtyp object"
"instruct what ar 5 potenti us for an empti la ...croi context nan respons .1 mak your bik sound lik it ha an engin ... categori brainstorm :nam ,115 :dtyp object"
"instruct what i the nam of the 'winslow nerdi -...nextd context nan respons stev urkel categori _openqa :nam ,116 :dtyp object"
"instruct why ar so mani u hollywood film mad in ...the context nan respons whil film in the unit stat a an ...audi categori _openqa :nam ,117 :dtyp object"
"instruct how mani manag hav arsen ?had context ther hav been twenti perman and eight ...car respons arsen hav had twenti perman and eight ...ca categori _closedqa :nam ,118 :dtyp object"
"instruct what i ?svm context in machin ,learn support vector machin (... respons svm stand for """"support vector "".machin it ...i categori _closedqa :nam ,119 :dtyp object"
"instruct what i the current capit of ?japan context tokyo (//;[]ˈtoʊkioʊ7 :japanes ,東京 ,tōkyō [...to respons tokyo i the current capit of .japan categori _informationextract :nam ,120 :dtyp object"
"instruct what ar som tool that everi homeown ...shoul context nan respons ther i a tool design for almost everi ...chal categori _openqa :nam ,121 :dtyp object"
"instruct what i an ?appl context nan respons an appl i an ed fruit produc by an ...app categori _openqa :nam ,122 :dtyp object"
"instruct writ a short essai on california wild fir context nan respons california i known for it ,hot dry ,summer ... categori _creativewt :nam ,123 :dtyp object"
"instruct tell me about the 2017 southeastern ...confer context the 2017 southeastern confer football ...sea respons the 2017 southeastern confer football ...sea categori summar :nam ,124 :dtyp object"
"instruct who scor first in austin 'fc first victori ... context austin fc played their first ml match ...against respons jon gallagh scor the first goal in austin ... categori _closedqa :nam ,125 :dtyp object"
"instruct classifi each of the follow a either a ...bir context nan respons -mammal ,tiger ,rhinocero ,dog \-catnbird ...her categori classif :nam ,126 :dtyp object"
"instruct what ar som differ thing you should ...brin context nan respons you should bring ,water a ,snack ,sunscreen ...hi categori brainstorm :nam ,127 :dtyp object"
"instruct how long doe it tak for a mustard seed to ...ge context mustard seed ar the small round seed of ...var respons mustard seed gener tak eight to ten ...dai categori _closedqa :nam ,128 :dtyp object"
"instruct which i a speci of ?fish sea dragon or red ... context nan respons sea dragon categori classif :nam ,129 :dtyp object"
"instruct categor wher each of thes household ...item context nan respons a bed belong in a ,bedroom a couch belong ...in categori classif :nam ,130 :dtyp object"
"instruct separ the follow suburb into thos ...that context nan respons st ,lucia west ,end ,toowong bulimba and ...newst categori classif :nam ,131 :dtyp object"
"instruct what ar ?airpod context nan respons air pod ar an in ear headphon product mad ... categori _generalqa :nam ,132 :dtyp object"
"instruct what i the differ between pet and ?cattl context nan respons although both ar anim at the end of the ...da categori _openqa :nam ,133 :dtyp object"
"instruct how do i put a bouquet of fresh flower in a ...v context nan respons in order to put fresh flower in a ,vas ...follo categori _openqa :nam ,134 :dtyp object"
"instruct what should i do on a free afternoon in san ...fr context nan respons you can visit and tak photo at san ...francisco categori _creativewt :nam ,135 :dtyp object"
"instruct identifi which instru i string or ...woodwin context nan respons gemshorn i ,woodwind janzi i .string categori classif :nam ,136 :dtyp object"
"instruct identifi which anim speci i al or ...exti context nan respons pliosaur i ,extinct marin iguana i .al categori classif :nam ,137 :dtyp object"
"instruct what i the origin of the nam of the herb ...ro context alvia rosmarinu (/ˈsælviə /[][...ˌrɒsməˈraɪnəs34 respons the nam """"rosemari der from latin ro ...mar categori _closedqa :nam ,138 :dtyp object"
"instruct classifi each of the follow a either a ...tit context nan respons isaac :asimov pebbl in the ,sky the ,star ...li categori classif :nam ,139 :dtyp object"
"instruct wat id dna ?annot context nan respons dna annot or genom annot i the ...pro categori _openqa :nam ,140 :dtyp object"
"instruct who wer jaehaeri i 'targaryen ?children context nan respons princ ,aegon princess ,daeneri princ ,...aemon categori _openqa :nam ,141 :dtyp object"
"instruct in ,sql how can i filter tabl row bas on ...a context nan respons select <>column from <>tabl wher <>column =... categori _generalqa :nam ,142 :dtyp object"
"instruct who wer the ten best baseball player in the ... context nan respons .1 david \.ortizn2 ted \.williamsn3 bab \...ruth categori brainstorm :nam ,143 :dtyp object"
"instruct what mak the world go ?around context nan respons som sai monei mak the world go ,around ...oth categori _generalqa :nam ,144 :dtyp object"
"instruct who coin the phras ""-""bikeshed and ?when context the law of trivial i .c northcot ...parkinso respons the phras ""-""bikeshed wa introduc in ...1 categori _closedqa :nam ,145 :dtyp object"
"instruct who i the best formula 1 driver context nan respons who i the best formula 1 driver ha been a ...ho categori _generalqa :nam ,146 :dtyp object"
"instruct what i shar capit in ?fin context nan respons shar capit i the monei invest directli ...i categori _openqa :nam ,147 :dtyp object"
"instruct giv me som 'mother dai gift .idea context nan respons the choic of 'mother dai gift depend on ...who categori _generalqa :nam ,148 :dtyp object"
"instruct giv me a list of wai that a runner can ...advan context nan respons - the batter ,walk forc the runner to ...adva categori brainstorm :nam ,149 :dtyp object"
"instruct what ar the typ of ?rv context nan respons rv i an abbrevi for recr ...vehicl categori _generalqa :nam ,150 :dtyp object"
"instruct list the weapon of goddess durga in a comma ... context durga i a warrior ,goddess and she i ...depict respons ,chakra ,conch ,bow ,arrow ,sword ,javelin ...tri categori _informationextract :nam ,151 :dtyp object"
"instruct what shap ar mad up of straight ?lin context nan respons ,squar ,pentagon ,rectangl rhombu and ...trian categori brainstorm :nam ,152 :dtyp object"
"instruct choos the word which i differ from the ...re context nan respons all except park ar plac to await for ...transp categori classif :nam ,153 :dtyp object"
"instruct ar the smith a good ?band context nan respons the smith wer on of the most critic ...acc categori _generalqa :nam ,154 :dtyp object"
"instruct what i an ?ev context nan respons ev stand for electr .vehicl an electr ...v categori _generalqa :nam ,155 :dtyp object"
"instruct given a refer text about run toward the ...d context run toward the danger i a 2022 canadian ...essa respons six essai ar part of the run toward the ...dan categori _closedqa :nam ,156 :dtyp object"
"instruct nam 10 color context nan respons ,fuschia ,magenta ,orang ,green ,blue ,red ...ye categori brainstorm :nam ,157 :dtyp object"
"instruct what i gam of ?cricket context cricket i a --batandball gam played between ... respons cricket i a gam played us a bat and a ...bal categori summar :nam ,158 :dtyp object"
"instruct how much of american win i produc in ...calif context nan respons california i responsibli for roughli %90 of ...a categori _openqa :nam ,159 :dtyp object"
"instruct a a ,golfer how can i fix my ?slic context nan respons a common swing fault in golfer i a slic ...whi categori _generalqa :nam ,160 :dtyp object"
"instruct who tend to particip in ?hackathon context a hackathon (also known a a hack ,dai ...hackf respons comput programm and other involv in ...so categori _closedqa :nam ,161 :dtyp object"
"instruct which commun of user on twitter ha the ...mo context nan respons from my limit ,experi 'it the bitcoin ...b categori brainstorm :nam ,162 :dtyp object"
"instruct tell me whether thes peopl ar dj or ...singer context nan respons david :guetta \:djnavicii \:djnrihanna \...singer categori classif :nam ,163 :dtyp object"
"instruct what’ a typic dish in ?brazil context nan respons brazil ha a wid varieti of culinari option ... categori _generalqa :nam ,164 :dtyp object"
"instruct how should i invest my ?monei context nan respons ther ar mani differ wai to invest your ...m categori _generalqa :nam ,165 :dtyp object"
"instruct wher i the villag of congosto context congosto (spanish :pronunci [])koŋˈɡosto ... respons congosto i a villag and municip ...loc categori summar :nam ,166 :dtyp object"
"instruct nam the three best profession sport team ... context nan respons the best profession sport team bas in ...ca categori _openqa :nam ,167 :dtyp object"
"instruct what i market ?autom context market autom i a subset of custom ...r respons market autom i softwar that help ...ma categori _closedqa :nam ,168 :dtyp object"
"instruct what ar som wai to improv the valu of ...you context nan respons ther ar sever thing you do can to ...increa categori brainstorm :nam ,169 :dtyp object"
"instruct tell me an idea for a film bas off of the ...ca context nan respons a -selfdr car nam walter (voic by ...wil categori _creativewt :nam ,170 :dtyp object"
"instruct which american presid spok dutch a their ... context van buren receiv a basic educ at the ...vi respons presid van buren spok dutch a hi first ...l categori _closedqa :nam ,171 :dtyp object"
"instruct how mani planet ar ?ther context nan respons ther ar eight planet in our n solar ...sy categori _generalqa :nam ,172 :dtyp object"
"instruct help me com up with 3 idea for a new ...busin context nan respons ther ar mani busi you could think ...abou categori brainstorm :nam ,173 :dtyp object"
"instruct tomb of sand wa transl from hindi to ...eng context nan respons daisi rockwell categori _openqa :nam ,174 :dtyp object"
"instruct what i mor import in ,societi freedom or ... context nan respons in our ,societi freedom and safeti ar both ...va categori _creativewt :nam ,175 :dtyp object"
"instruct given thi refer text about the ...consumptio context the unit stat i a lead export of ...pea respons nat peanut butter dai tak plac on ...janu categori _closedqa :nam ,176 :dtyp object"
"instruct what ar good act for two year old ?boi context nan respons two year old boi tend to be ,act curiou ...a categori _generalqa :nam ,177 :dtyp object"
"instruct how mani comput servic doe azur synaps ...h context nan respons azur synaps provid fiv differ comput ... categori _openqa :nam ,178 :dtyp object"
"instruct what doe fast ?mean context fast i the abstent from eat and ...som respons fast i the abstent from eat and ...som categori _closedqa :nam ,179 :dtyp object"
"instruct how mani tim lewi hamilton won the f1 ...champ context nan respons 7 tim categori brainstorm :nam ,180 :dtyp object"
"instruct what happen when you bring flamm object ... context nan respons flamm object can becom inflam when ...pla categori _openqa :nam ,181 :dtyp object"
"instruct giv me a list of the last fiv european ...gold context nan respons .1 robert ,lewandowski -,20222021 35 \....goalsn2 categori brainstorm :nam ,182 :dtyp object"
"instruct identifi which instru i string or ...percuss context nan respons luc huyen cam i ,string -denden daiko i ...perc categori classif :nam ,183 :dtyp object"
"instruct pick if thes would be useful or not useful ...fo context nan respons :notebook ,useful :textbook ,useful desk ...lamp categori classif :nam ,184 :dtyp object"
"instruct what i the largest citi on the mississippi ...ri context memphi i the -fifthmost popul citi in ...the respons saint ,loui missouri i the largest citi on ...t categori _informationextract :nam ,185 :dtyp object"
"instruct what i the citi of denver ?lik context nan respons denver i a big ,citi nestl directli to the ... categori _generalqa :nam ,186 :dtyp object"
"instruct provid a list of all number mention in ...the context the ancestor of llama ar thought to hav ...or respons 40 :million the number of year ago when the ...a categori _informationextract :nam ,187 :dtyp object"
"instruct what ar the differ between the new york ... context nan respons the new york giant and new york jet ar ...both categori _openqa :nam ,188 :dtyp object"
"instruct wa furz hill an establish commun in ...the context furz hill (or )furzehill i a hamlet ...situ respons ,no it wa not an establish commun until ... categori _closedqa :nam ,189 :dtyp object"
"instruct should you bui new golf club when you ar a ...b context nan respons it i recommend that you get custom fit ...f categori brainstorm :nam ,190 :dtyp object"
"instruct why should i us fabric ?soften context machin wash put great mechan stress ...o respons machin wash put great mechan stress ...o categori _informationextract :nam ,191 :dtyp object"
"instruct the former chairman of tata son died in road ... context nan respons ahmedabad to mumbai categori _openqa :nam ,192 :dtyp object"
"instruct pleas classifi each of the follow anim ... context nan respons newt and frog ar .amphibian the rest of the ... categori classif :nam ,193 :dtyp object"
"instruct classifi the follow number a ''prim or '... context nan respons '',prim '',prim '',composit '',prim '...compo categori classif :nam ,194 :dtyp object"
"instruct summar the ruler of the territori of ...alban context the illyrian ardiaei ,trib centr in ...monten respons king agron rul the territori of ,albania ...fol categori summar :nam ,195 :dtyp object"
"instruct what i cloud comput in simpl ?term context nan respons in simpl term cloud comput allow you to ... categori _generalqa :nam ,196 :dtyp object"
"instruct what i on ?year context nan respons on earth year i the tim it tak for on ...re categori _openqa :nam ,197 :dtyp object"
"instruct what typ of sport fish do most angler ...targ context nan respons ther ar mani typ of gam fish that ...angler categori _generalqa :nam ,198 :dtyp object"
"instruct giv me a bunch of wai i can keep my hous ...co context nan respons - install whol hous ac 'that integr ...wit categori brainstorm :nam ,199 :dtyp object"
"instruct what i ?win context win i an alcohol drink typic mad ...from respons win i an alcohol drink typic mad ...from categori _closedqa :nam ,200 :dtyp object"
"instruct ar the follow item candi bar or :gum ...tri context nan respons three ,musket ,twix and snicker ar ...candi categori classif :nam ,201 :dtyp object"
"instruct 'what the rel between the kushan empir ... context the kushan empir wa a syncret ,empir ...for respons -kushanosasanian kingdom (also call ...kushansh categori _informationextract :nam ,202 :dtyp object"
"instruct giv me a list of thing that pos a ...challeng context nan respons )1 crypto i an invent that ha yet to ...find categori brainstorm :nam ,203 :dtyp object"
"instruct what i the mean of ?lif context nan respons although it i a deep question that ha ...chall categori _generalqa :nam ,204 :dtyp object"
"instruct classifi the below charact bas on ...whether context nan respons -dc ,superman ,batman wonder ,woman ,flash ...aqu categori classif :nam ,205 :dtyp object"
"instruct why ar we lik ?aquarium context nan respons ,aquarium lik ,zoo provid -funfill ...leisu categori _generalqa :nam ,206 :dtyp object"
"instruct giv me a bullet list of countri that ...star context nan respons - \-botswanan \-bulgarian \-braziln \-...bolivian categori brainstorm :nam ,207 :dtyp object"
